     Node_label    Um  U1   U2   U3
          150266     156.802E-06     54.4175E-06    -80.3665E-18     147.056E-06
          150267     158.331E-06    -62.5592E-06    -80.3665E-18     145.447E-06
          150268     164.682E-06    -125.931E-06    -80.3665E-18     106.120E-06
          150269     435.127E-06     411.947E-06    -80.3665E-18     140.125E-06
          150270     350.047E-06     315.673E-06    -80.3665E-18     151.272E-06
          150271     253.012E-06     192.286E-06    -80.3665E-18     164.442E-06
          150272     185.637E-06     53.9673E-06    -80.3665E-18     177.619E-06
          150273     185.732E-06    -64.1105E-06    -80.3665E-18     174.316E-06
          150274     176.911E-06    -124.915E-06    -80.3665E-18     125.275E-06
          150275     453.097E-06     425.713E-06    -80.3665E-18     155.129E-06
          150276     365.767E-06     325.527E-06    -80.3665E-18     166.787E-06
          150277     268.384E-06     195.000E-06    -80.3665E-18     184.404E-06
          150278     206.688E-06     54.1818E-06    -80.3665E-18     199.460E-06
          150279     205.649E-06    -65.3109E-06    -80.3665E-18     195.002E-06
          150280     185.044E-06    -122.484E-06    -80.3665E-18     138.705E-06
          150281     466.458E-06     437.307E-06    -80.3665E-18     162.313E-06
          150282     374.817E-06     329.519E-06    -80.3665E-18     178.619E-06
          150283     280.227E-06     198.568E-06    -80.3665E-18     197.731E-06
          150284     221.310E-06     52.2002E-06    -80.3665E-18     215.066E-06
          150285     218.981E-06    -63.8611E-06    -80.3665E-18     209.462E-06
          150286     191.957E-06    -122.220E-06    -80.3665E-18     148.019E-06
          150287     76.7838E-06     35.8780E-06    -80.3665E-18     67.8861E-06
          150288     96.7867E-06     70.7681E-06    -80.3665E-18     66.0269E-06
          150289     130.515E-06     106.637E-06    -80.3665E-18     75.2514E-06
          150290     157.616E-06     139.497E-06    -80.3665E-18     73.3707E-06
          150291     192.929E-06     174.462E-06    -80.3665E-18     82.3679E-06
          150292     220.995E-06     204.551E-06    -80.3665E-18     83.6517E-06
          150293     255.772E-06     237.609E-06    -80.3665E-18     94.6655E-06
          150294     281.590E-06     264.171E-06    -80.3665E-18     97.5010E-06
          150295     314.168E-06     294.527E-06    -80.3665E-18     109.341E-06
          150296     336.818E-06     317.018E-06    -80.3665E-18     113.782E-06
          150297     366.186E-06     343.953E-06    -80.3665E-18     125.652E-06
          150298     385.173E-06     362.113E-06    -80.3665E-18     131.273E-06
          150299     410.613E-06     385.113E-06    -80.3665E-18     142.447E-06
          150300     425.785E-06     398.984E-06    -80.3665E-18     148.678E-06
          150301     446.852E-06     417.856E-06    -80.3665E-18     158.345E-06
          150302     458.279E-06     427.841E-06    -80.3665E-18     164.231E-06
          150303     474.814E-06     442.872E-06    -80.3665E-18     171.209E-06
          150304     482.001E-06     448.836E-06    -80.3665E-18     175.701E-06
          150305     492.889E-06     458.991E-06    -80.3665E-18     179.629E-06
          150306     495.470E-06     460.522E-06    -80.3665E-18     182.784E-06
          150307     501.618E-06     466.436E-06    -80.3665E-18     184.549E-06
          150308     500.196E-06     464.161E-06    -80.3665E-18     186.415E-06
          150309     501.958E-06     466.292E-06    -80.3665E-18     185.831E-06
          150310     496.595E-06     460.759E-06    -80.3665E-18     185.223E-06
          150311     494.882E-06     460.443E-06    -80.3665E-18     181.385E-06
          150312     486.734E-06     452.598E-06    -80.3665E-18     179.066E-06
          150313     482.297E-06     450.167E-06    -80.3665E-18     173.088E-06
          150314     195.718E-06     26.8386E-06    -80.3665E-18     193.869E-06
          150315     204.072E-06     54.1735E-06    -80.3665E-18     196.750E-06
          150316     210.005E-06     79.7892E-06    -80.3665E-18     194.256E-06
          150317     226.243E-06     106.973E-06    -80.3665E-18     199.355E-06
          150318     238.150E-06     130.624E-06    -80.3665E-18     199.130E-06
          150319     257.513E-06     156.789E-06    -80.3665E-18     204.280E-06
          150320     271.105E-06     177.941E-06    -80.3665E-18     204.536E-06
          150321     291.833E-06     202.433E-06    -80.3665E-18     210.209E-06
          150322     305.340E-06     220.575E-06    -80.3665E-18     211.138E-06
          150323     325.389E-06     242.778E-06    -80.3665E-18     216.649E-06
          150324     337.460E-06     257.570E-06    -80.3665E-18     218.029E-06
          150325     355.461E-06     276.828E-06    -80.3665E-18     222.978E-06
          150326     365.263E-06     288.100E-06    -80.3665E-18     224.533E-06
          150327     380.263E-06     303.943E-06    -80.3665E-18     228.513E-06
          150328     387.239E-06     311.667E-06    -80.3665E-18     229.822E-06
          150329     398.578E-06     323.840E-06    -80.3665E-18     232.363E-06
          150330     402.144E-06     328.138E-06    -80.3665E-18     232.477E-06
          150331     409.185E-06     337.033E-06    -80.3665E-18     232.036E-06
          150332     409.920E-06     338.931E-06    -80.3665E-18     230.566E-06
          150333     414.092E-06     345.460E-06    -80.3665E-18     228.320E-06
          150334     412.208E-06     344.988E-06    -80.3665E-18     225.609E-06
          150335     413.141E-06     348.787E-06    -80.3665E-18     221.434E-06
          150336     408.105E-06     345.549E-06    -80.3665E-18     217.132E-06
          150337     406.112E-06     346.757E-06    -80.3665E-18     211.390E-06
          150338     399.114E-06     341.610E-06    -80.3665E-18     206.386E-06
          150339     395.642E-06     341.901E-06    -80.3665E-18     199.087E-06
          150340     387.618E-06     336.085E-06    -80.3665E-18     193.117E-06
          150341     330.538E-06     15.6330E-06    -80.3665E-18     330.168E-06
          150342     330.222E-06     30.5123E-06    -80.3665E-18     328.809E-06
          150343     333.911E-06     46.4913E-06    -80.3665E-18     330.658E-06
          150344     333.830E-06     60.1411E-06    -80.3665E-18     328.368E-06
          150345     337.797E-06     76.0905E-06    -80.3665E-18     329.115E-06
          150346     338.595E-06     88.3027E-06    -80.3665E-18     326.878E-06
          150347     343.393E-06     103.733E-06    -80.3665E-18     327.351E-06
          150348     344.133E-06     114.173E-06    -80.3665E-18     324.642E-06
          150349     348.970E-06     128.675E-06    -80.3665E-18     324.380E-06
          150350     349.311E-06     137.115E-06    -80.3665E-18     321.275E-06
          150351     353.580E-06     150.297E-06    -80.3665E-18     320.047E-06
          150352     353.063E-06     156.746E-06    -80.3665E-18     316.361E-06
          150353     356.097E-06     168.157E-06    -80.3665E-18     313.892E-06
          150354     354.225E-06     172.487E-06    -80.3665E-18     309.392E-06
          150355     355.417E-06     181.653E-06    -80.3665E-18     305.489E-06
          150356     351.722E-06     183.711E-06    -80.3665E-18     299.931E-06
          150357     350.898E-06     190.452E-06    -80.3665E-18     294.716E-06
          150358     346.299E-06     190.773E-06    -80.3665E-18     289.013E-06
          150359     344.173E-06     195.913E-06    -80.3665E-18     282.972E-06
          150360     338.146E-06     194.979E-06    -80.3665E-18     276.272E-06
          150361     334.345E-06     198.925E-06    -80.3665E-18     268.730E-06
          150362     327.045E-06     197.232E-06    -80.3665E-18     260.879E-06
          150363     322.341E-06     200.753E-06    -80.3665E-18     252.194E-06
          150364     314.535E-06     198.810E-06    -80.3665E-18     243.735E-06
          150365     309.335E-06     201.715E-06    -80.3665E-18     234.519E-06
          150366     300.976E-06     198.663E-06    -80.3665E-18     226.096E-06
          150367     295.262E-06     200.809E-06    -80.3665E-18     216.461E-06
          150368     423.426E-06     3.49091E-06    -80.3665E-18     423.411E-06
          150369     423.240E-06     7.58814E-06    -80.3665E-18     423.172E-06
          150370     420.767E-06     10.3419E-06    -80.3665E-18     420.640E-06
          150371     419.837E-06     14.9879E-06    -80.3665E-18     419.569E-06
          150372     416.648E-06     16.8691E-06    -80.3665E-18     416.306E-06
          150373     414.440E-06     21.7781E-06    -80.3665E-18     413.868E-06
          150374     409.957E-06     22.8033E-06    -80.3665E-18     409.322E-06
          150375     406.627E-06     27.8737E-06    -80.3665E-18     405.671E-06
          150376     400.977E-06     28.0453E-06    -80.3665E-18     399.995E-06
          150377     396.346E-06     33.1318E-06    -80.3665E-18     394.958E-06
          150378     389.509E-06     32.4977E-06    -80.3665E-18     388.151E-06
          150379     383.557E-06     37.2987E-06    -80.3665E-18     381.739E-06
          150380     375.608E-06     36.1084E-06    -80.3665E-18     373.868E-06
          150381     368.422E-06     40.6626E-06    -80.3665E-18     366.171E-06
          150382     359.535E-06     39.3993E-06    -80.3665E-18     357.369E-06
          150383     351.477E-06     44.0154E-06    -80.3665E-18     348.710E-06
          150384     342.085E-06     43.1427E-06    -80.3665E-18     339.354E-06
          150385     333.267E-06     47.4752E-06    -80.3665E-18     329.868E-06
          150386     323.482E-06     46.1746E-06    -80.3665E-18     320.169E-06
          150387     314.290E-06     49.9433E-06    -80.3665E-18     310.296E-06
          150388     304.197E-06     48.3472E-06    -80.3665E-18     300.331E-06
          150389     294.625E-06     51.7187E-06    -80.3665E-18     290.050E-06
